"Id","PlayerName","PlayerSurname","CountryId","Dob","Retired","LastUpdated"
"1","Andy","Bichel","2","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"2","Rudi","Steyn","7","1965-05-11 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"3","Danny","Morrison","5","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"4","Brett","Lee","2","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"5","S","Harvey","2","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"6","Alec","Stewart","9","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"7","Moin","Khan","6","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"8","David ","Boon","2","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"9","S","Peall","10","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"10","Otis","Gibson","8","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"11","Kenny","Benjamin","8","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"12","Grant","Flower","10","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"13","Michael","Owens","5","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"14","Mario","Felix","7","1965-05-11 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"15","Lee","Germon","5","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"16","Rashid","Latif","6","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"17","Kevin","Spearman","5","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"18","Graham","Gooch","9","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"19","M","Dekker","10","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"20","Alan","Igglesden","9","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"21","Andrew","Jones","5","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"22","Brian","McMillian","7","1965-05-11 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"23","Andy","Flower","10","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"24","Michael","Atherton","9","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"25","Stuart","Williams","8","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"26","Steve","Palframan","7","1965-05-11 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"27","Heath","Streak","10","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"28","Courtney","Walsh","8","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
"29","Inzamam","Ul-Haq","6","1977-06-14 00:00:00.0000000","False","2021-05-21 22:06:33.4025804 +00:00"
